ball 1,ball 2,ball 3,ball 4,ball 5,ball 6,ball 7,ball 8,ball 9,ball 10,ball 11,ball 12,ball 13,ball 14,ball 15,ball 16,ball 17,ball 18,ball 19,ball 20,king ball
3,8,11,13,18,21,23,27,31,37,40,43,45,48,57,63,64,65,66,69,45
2,3,5,6,7,14,22,27,29,30,32,35,38,39,41,45,47,48,55,69,47
9,17,19,20,22,23,30,35,36,40,41,45,48,50,58,63,64,67,68,70,20
7,9,16,20,21,24,26,30,32,33,37,38,39,43,44,53,58,64,66,70,44
5,7,11,13,15,16,18,27,30,37,44,45,50,52,53,55,56,58,59,70,50
1,4,11,23,27,28,31,32,36,37,39,41,43,45,46,50,55,59,67,69,37
4,8,11,12,17,21,22,23,28,33,35,42,45,46,52,55,56,61,62,69,61
3,4,5,15,17,19,20,23,24,25,27,32,39,40,41,42,44,46,52,60,46
2,9,17,21,22,23,31,36,38,40,43,45,48,49,52,57,58,62,64,65,38
2,5,8,12,14,15,16,17,21,22,27,40,43,49,52,53,55,61,65,66,12
4,6,9,11,16,18,20,21,22,24,31,41,42,45,48,52,58,60,66,68,22
3,9,11,18,20,26,28,30,31,33,44,48,49,50,52,54,59,62,66,69,11
6,9,13,19,20,23,28,29,36,37,39,40,42,45,48,60,61,67,69,70,29
5,9,11,15,16,17,19,24,27,29,38,40,42,50,54,56,62,65,67,69,9
2,5,7,8,9,11,13,14,20,22,23,26,28,30,31,38,43,48,54,68,8
5,8,11,15,18,22,23,24,26,28,30,31,36,38,42,47,53,62,63,69,15
3,4,7,10,15,17,20,21,22,34,38,43,46,51,52,54,60,62,68,70,22
2,8,11,15,18,22,27,31,34,35,38,39,46,50,53,55,56,65,68,70,34
1,4,13,17,19,21,24,26,27,28,35,42,51,52,53,54,57,59,60,69,57
2,8,13,14,18,20,27,30,35,38,40,42,47,51,55,59,65,67,69,70,69
1,6,9,10,12,14,18,21,25,26,32,33,38,41,49,54,56,58,59,65,56
2,12,19,20,22,24,25,26,32,33,35,42,47,48,53,62,64,65,69,70,2
1,6,12,20,21,33,34,39,40,42,45,48,50,55,56,58,61,62,65,70,65
4,8,9,11,16,18,19,23,27,30,32,35,37,40,41,44,53,56,57,63,27
8,11,23,25,26,28,33,41,42,43,46,51,52,54,57,58,63,67,69,70,25
10,12,15,19,20,23,27,28,29,31,33,38,41,45,46,47,53,57,59,70,59
2,3,7,13,16,21,23,26,31,33,34,35,44,45,48,53,56,59,60,66,31
2,8,13,18,19,21,24,33,35,37,38,39,42,55,59,60,63,64,66,69,60
9,12,14,17,19,24,26,27,32,37,39,40,43,44,45,49,51,52,65,69,37
3,5,15,21,23,26,29,30,36,37,40,45,46,47,48,56,57,58,62,66,45
1,2,7,9,12,17,19,22,27,30,32,33,34,39,47,50,51,56,66,68,2
4,5,8,9,15,19,22,31,32,36,38,39,43,47,48,50,56,58,60,68,31
1,9,11,14,15,28,30,31,32,35,39,46,47,51,52,54,55,59,64,70,59
4,11,14,15,17,18,19,22,30,34,39,42,43,45,46,49,52,57,62,68,17
1,6,9,10,18,19,23,26,28,34,41,43,45,57,59,62,65,66,67,68,43
3,4,6,12,14,17,19,31,35,40,41,43,44,52,55,57,59,61,67,69,55
2,5,8,9,14,19,23,24,26,29,32,36,39,48,50,53,54,63,67,70,29
1,2,5,13,17,18,19,20,22,23,24,31,34,36,43,46,51,53,69,70,22
4,6,7,10,13,16,18,19,20,22,26,31,33,49,50,53,60,63,64,69,7
13,22,23,24,27,28,29,36,39,40,43,47,48,49,51,59,61,62,63,66,22
7,13,14,16,21,24,26,27,33,36,37,40,43,44,49,53,54,59,65,69,24
3,4,9,10,13,14,17,21,28,31,33,42,44,45,49,59,62,64,66,70,9
2,3,7,9,15,24,27,32,36,37,39,41,43,48,50,53,55,56,60,61,53
1,7,10,15,16,18,21,23,25,28,31,36,38,39,40,53,59,60,63,66,7
3,6,13,15,16,30,33,35,38,40,42,45,52,57,59,62,66,67,68,69,38
2,4,10,13,18,23,25,36,39,42,43,44,46,47,53,55,60,66,67,69,13
2,5,13,14,20,22,23,24,25,29,30,31,34,36,38,46,48,49,57,61,24
2,9,12,21,22,23,24,26,27,30,31,32,34,41,42,43,45,46,60,65,22
6,8,9,10,12,13,14,17,28,36,43,48,49,50,53,57,59,63,65,69,65
1,14,16,17,18,24,30,31,35,38,44,45,46,48,49,51,55,56,65,66,46
2,3,5,6,20,22,25,29,33,36,38,40,45,49,51,53,56,61,66,69,6
1,2,3,8,9,11,14,19,21,28,34,40,41,55,56,57,58,64,65,69,1
4,7,8,13,16,21,22,25,29,32,33,36,42,43,45,47,53,62,68,70,22
3,6,10,14,17,20,21,27,28,29,30,34,38,39,45,47,51,59,63,68,28
5,18,21,22,25,34,37,38,42,46,47,50,51,55,56,60,63,66,67,69,22
1,10,13,14,20,23,24,26,27,32,33,35,44,50,55,58,59,60,64,66,24
5,8,10,11,12,25,34,42,45,49,52,54,55,59,61,62,67,68,69,70,34
3,5,6,7,11,13,15,16,31,33,37,39,41,44,47,48,49,58,61,70,3
1,2,4,8,13,14,22,23,27,31,33,37,42,51,54,57,59,62,63,70,37
2,3,4,7,20,21,25,30,37,39,42,43,56,57,60,61,65,68,69,70,4
2,4,6,8,10,15,26,28,29,36,38,42,43,51,52,54,55,57,58,62,36
4,14,15,16,21,23,29,31,33,38,41,46,47,48,51,52,54,61,62,69,21
1,4,12,16,19,20,21,22,29,30,37,43,45,48,51,57,58,62,63,65,37
5,11,14,17,18,20,25,29,33,34,35,37,39,42,46,56,61,64,65,66,18
3,7,12,14,15,18,22,24,25,26,32,40,42,48,50,53,54,57,60,61,7
5,7,8,11,14,22,23,24,28,35,41,42,46,48,50,55,59,60,62,63,7
3,7,8,9,10,14,15,21,25,33,34,41,48,52,55,58,59,63,64,70,15
3,8,9,10,11,18,20,22,24,25,26,29,42,43,56,61,63,64,66,69,22
5,10,11,16,17,19,20,26,31,34,36,41,43,45,54,57,59,60,63,65,43
3,6,11,13,29,30,31,32,34,35,36,44,45,46,49,50,53,54,55,57,44
4,6,8,13,15,16,18,22,25,28,30,33,34,35,37,46,52,56,58,60,33
8,13,16,18,19,21,25,27,29,37,38,42,43,47,51,59,60,61,63,70,37
1,5,7,8,11,30,31,33,39,41,44,47,48,50,53,56,58,62,65,66,53
1,2,3,11,21,25,33,36,38,39,41,42,43,50,53,57,61,64,66,67,38
2,14,15,17,21,22,24,29,31,35,41,44,49,51,53,54,57,62,64,70,24
3,5,6,9,22,26,28,32,33,35,44,45,46,47,50,52,57,64,66,67,57
